RSOCFO,FAMILLE,SOUS FAM,NARTAR,LARTAR,NBPCVL,PVTCPJ,STOCK,QTE EN CDE,GPV HH (30),GPV SU PL (130),GPV SU DJIBI (235),GPV HU (302),ASTEN HCP (230),QTE,ARTICLE
U MARQUE NATIONALE,780,255,100491413,HOCHET SUCOR LAPIN BL 4603470,1,0,0,0,,,,,,,
U MARQUE NATIONALE,780,255,100491414,HOCHET SUCOR SOURIS RS 4603670,1,0,0,0,,,,,,,
U MARQUE NATIONALE,780,165,100491415,RANGE SUCETTE SUCOR BEIGE 4603910,1,0,0,0,,,,,,,
U MARQUE NATIONALE,780,165,100491416,RANGE SUCETTE SUCOR BC 4603971,1,0,0,0,,,,,,,
U MARQUE NATIONALE,780,260,100491417,DOUDOU MAGIDOUX DOUMOU 4604470 SUCO,1,0,0,0,,,,,,,
U MARQUE NATIONALE,780,260,100491419,DOUDOU MAGIDOUX DOUMOU 4604630 SUCO,1,0,0,0,,,,,,,
U MARQUE NATIONALE,780,260,100491421,DOUDOU DOUMOU EVEIL CHAT 4604990 SU,1,0,0,0,,,,,,,
U MARQUE NATIONALE,780,260,100491489,DOUDOU DOUMOU EVEIL SUCOR 4605011 U,1,0,0,0,,,,,,,
U MARQUE NATIONALE,780,260,100491501,DOUDOU DOUMOU SUCOR CHIEN 4605250 R,1,0,0,0,,,,,,,
U MARQUE NATIONALE,780,260,100491509,DOUDOU DOUMOU SUCOR SINGE 4605270 B,1,0,0,0,,,,,,,
U MARQUE NATIONALE,780,260,100491512,DOUDOU DOUMOU SUCOR PANDA 4605290 G,1,0,0,0,,,,,,,
U MARQUE NATIONALE,780,260,100491698,DOUDOU TETINOU SUCOR SOURIS 6538051,1,0,0,0,,,,,,,
U MARQUE NATIONALE,780,260,100491700,DOUDOU TETINOU SUCOR LAPIN 6538071,1,0,0,0,,,,,,,
U MARQUE NATIONALE,780,260,100491702,DOUDOU TETINOU SUCOR SOURIS 6538090,1,0,0,0,,,,,,,
U MARQUE NATIONALE,780,255,100491715,HOCHET SUCOR LAPIN BEIGE 6538370,1,0,0,0,,,,,,,
U MARQUE NATIONALE,780,260,100497419,DOUDOU MOUCHOIR SOURIS SUCOR,1,0,0,0,,,,,,,
U MARQUE NATIONALE,780,260,100497420,DOUDOU MOUCHOIR SUCOR,1,0,0,0,,,,,,,
U MARQUE NATIONALE,860,101,100497866,PYJASHORT G 10-16A 383401 FREEGUN,1,0,0,0,,,,,,,
U MARQUE NATIONALE,870,103,100497871,PYJASHORT F 3-10A MBLC CHAT 380301,1,0,0,0,,,,,,,
U MARQUE NATIONALE,870,103,100497872,PYJASHORT F 10-16A MBLC 381501 CHAT,1,0,0,0,,,,,,,
U MARQUE NATIONALE,870,103,100497874,PYJASHORT G 3-10A MBLC 382101 ANIMA,1,0,0,0,,,,,,,
U MARQUE NATIONALE,870,103,100497875,PYJASHORT G 10-16A MBLC 383301 SKAT,1,0,0,0,,,,,,,
U MARQUE NATIONALE,940,105,100498126,CHAPEAU BOB H MBLC 58-60 499501 ASS,1,0,0,0,,,,,,,
U MARQUE NATIONALE,940,106,100498127,CASQUETTE H MBLC 58-60 ASST 499101,1,0,0,0,,,,,,,
U MARQUE NATIONALE,940,105,100498128,CHAPEAU H MBLC 58-60 499201 NATUREL,1,0,0,0,,,,,,,
U MARQUE NATIONALE,920,101,100498144,TS HOM LICEN S-XXL ASST 348901 U EN,1,0,0,0,,,,,,,
U MARQUE NATIONALE,820,104,100498170,ESPADRILLE H 41-46 C ASST 544701 U,1,0,0,0,,,,,,,
U MARQUE NATIONALE,820,103,100498171,ESPADRILLE F 36-40 544801 C ASST SM,1,0,0,0,,,,,,,
U MARQUE NATIONALE,820,104,100498172,ESPADRILLE H 36-46 544801/901 ASS U,1,0,0,0,,,,,,,
U MARQUE NATIONALE,820,103,100498174,ESPADRILLE F C ASST 36-41 5077610 U,1,0,0,0,,,,,,,
U MARQUE NATIONALE,860,101,100498246,TS ENF GARC COMPL 3-14A BC 193801 U,1,0,0,0,,,,,,,
U MARQUE NATIONALE,920,102,100498251,POLO HOM DYNAM S-XXL ASS 349001 U E,1,0,0,0,,,,,,,
U MARQUE NATIONALE,940,107,100498252,LUNETTE DE SOLEIL ADLT FREEG/TWENTY,1,0,0,0,,,,,,,
U MARQUE NATIONALE,940,107,100498254,LUNETTE DE SOLEIL ADLT LONGB/RLEWI,1,0,0,0,,,,,,,
U MARQUE NATIONALE,940,107,100498255,LUNETTE DE SOLEIL FEM NINA CASARI U,1,0,0,0,,,,,,,
U MARQUE NATIONALE,940,107,100498256,LUNETTE DE SOLEIL LITTLE JACK/AMY R,1,0,0,0,,,,,,,
U MARQUE NATIONALE,940,107,100498269,LUNETTE DE SOLEIL PITCHOUN 4846670,1,0,0,0,,,,,,,
U MARQUE NATIONALE,940,105,100498381,CASQUETTE ENF MBLC 52-54 502601 ASS,1,0,0,0,,,,,,,
U MARQUE NATIONALE,940,105,100498406,BOB/CHARLOTTE MBLC 45-49 505501 ASS,1,0,0,0,,,,,,,
U MARQUE NATIONALE,940,105,100498409,CASQUETTE LAYETTE MBLC 45-49 505401,1,0,0,0,,,,,,,
U MARQUE NATIONALE,870,103,100498414,PYJASHORT G EMOJI 10-16A 385801 BL,1,0,0,0,,,,,,,
U MARQUE NATIONALE,910,104,100498566,BERMUDA JOGGER COMPL 38-48 352301 U,1,0,0,0,,,,,,,
U MARQUE NATIONALE,910,112,100498568,CHEMISET H 39-40/45-46 329004 G.AUR,1,0,0,0,,,,,,,
U MARQUE NATIONALE,910,112,100498569,CHEMISET H 39-40/45-46 329003 G.AUR,1,0,0,0,,,,,,,
U MARQUE NATIONALE,910,112,100498579,CHEMISET H 39-40/45-46 329002 G.AUR,1,0,0,0,,,,,,,
U MARQUE NATIONALE,910,112,100498583,CHEMISET 39-40/45-46 329007 G.AURAY,1,0,0,0,,,,,,,
U MARQUE NATIONALE,910,112,100498584,CHEMISET H 39-40/45-46 329006 G.AUR,1,0,0,0,,,,,,,
U MARQUE NATIONALE,910,112,100498586,CHEMISET H 39-40/45-46 329005 G.AUR,1,0,0,0,,,,,,,
U MARQUE NATIONALE,910,112,100498589,CHEMISET H 39-40/45-46 329001 G.AUR,1,0,0,0,,,,,,,
U MARQUE NATIONALE,880,103,100498685,PANTACOURT FEM 1-7 NR 302102 SMAR M,1,0,0,0,,,,,,,
U MARQUE NATIONALE,880,103,100499086,PANTACOURT FEM T1-T7 GRIS 302103 U,1,0,0,0,,,,,,,
U MARQUE NATIONALE,840,104,100500088,ENS 2PCS BB F 3-24M ASST 104001 U,1,0,0,0,,,,,,,
U MARQUE NATIONALE,840,104,100500094,ENS 2PCS GARC 3-24M 104301 BC TURQ/,1,0,0,0,,,,,,,
U MARQUE NATIONALE,840,104,100500095,ENS 2PCS FILL 3-24M SMAR 104201 MRN,1,0,0,0,,,,,,,
U MARQUE NATIONALE,840,104,100500096,ENS 2PCS GARC 3-24M SMAR ASS 104501,1,0,0,0,,,,,,,
U MARQUE NATIONALE,840,104,100500097,ENS 2PCES BB FILL 3-24M SMAR 104101,1,0,0,0,,,,,,,
U MARQUE NATIONALE,850,111,100500135,BERMUDA GARC LONGB 2-9A ASST 198701,1,0,0,0,,,,,,,
U MARQUE NATIONALE,860,101,100500136,TS ENF GARC LONGB 2-9A ASST 198601,1,0,0,0,,,,,,,
U MARQUE NATIONALE,850,111,100500137,BERMUDA GARC LONGB 10-16A 198801 AS,1,0,0,0,,,,,,,
U MARQUE NATIONALE,860,101,100500166,TS GARC LONGB 10-16A ASS 198501 U,1,0,0,0,,,,,,,
U MARQUE NATIONALE,870,103,100507507,PYJASHORT GAR FREE 10/16 ASS 388301,16,9500,0,0,,,,,,,
U MARQUE NATIONALE,850,111,100507508,BERMUDA H L&SOU S-XXL BL 344901 U,12,0,0,0,,,,,,,
U MARQUE NATIONALE,940,105,100507511,CASQ LAYETTE MBLC 45/49 ASS 505402,16,0,0,0,,,,,,,
U MARQUE NATIONALE,880,103,100507517,CORSAIRE FEM T1-T7 TAUPE 302201 SMA,15,0,0,0,,,,,,,
U MARQUE NATIONALE,920,101,100507521,TS HOM AUR M-XXL ASS 329402 U,144,0,0,0,,,,,,,
U MARQUE NATIONALE,920,101,100507523,TS HOM AUR M-XXL ASS 329401 U,144,0,0,0,,,,,,,
U MARQUE NATIONALE,860,101,100507524,TS ENFT GARÇ COMPL 3/14 WHIT 202901,14,0,0,0,,,,,,,
U MARQUE NATIONALE,940,103,100507525,SAC PLAGE FEM FREEG ASS 486101 U,20,0,0,0,,,,,,,
U MARQUE NATIONALE,950,103,100507527,HAUT MAIL.BAIN MBLC 36/46 NR 420201,14,0,0,0,,,,,,,
U MARQUE NATIONALE,950,103,100507528,BAS M.BAIN FEM MBLC 38/46 NR 420501,12,0,0,0,,,,,,,
U MARQUE NATIONALE,850,111,100507529,BERMUDA H L&SOU S-XXL ASS 347101 U,18,0,0,0,,,,,,,
U MARQUE NATIONALE,950,102,100507531,SHORT BAIN FEM FREE.S-XL IMP 440801,16,0,0,0,,,,,,,
U MARQUE NATIONALE,920,105,100507533,DEBARDEUR H MBLC M-XXXL ASS 334901,14,0,0,0,,,,,,,
U MARQUE NATIONALE,920,105,100507534,DEBARDEUR H G.AUR M-XXL ASS 346601,24,0,0,0,,,,,,,
U MARQUE NATIONALE,950,103,100507536,BAS M.BAIN FEM MBLC 36/46 NR 420401,14,0,0,0,,,,,,,
U MARQUE NATIONALE,890,105,100507537,DEB FEM SMAR 36-46/48 ASS 251601 MN,24,0,0,0,,,,,,,
U MARQUE NATIONALE,920,105,100507538,DEBARDEUR H MBLC M-XXXL ASS 326101,28,0,0,0,,,,,,,
U MARQUE NATIONALE,920,102,100507542,POLO MC HOM M-XXXL ASS 326401/02 MN,32,0,0,0,,,,,,,
U MARQUE NATIONALE,880,111,100507543,SHORT FEM 38/46 ASS 251701 SMAR MN,32,0,0,0,,,,,,,
U MARQUE NATIONALE,890,105,100507545,DEB FEM SMAR 36/46 ASS 251901 MN,27,0,0,0,,,,,,,
U MARQUE NATIONALE,920,101,100507547,TS MC HOM MBLC M-XXXL ASS 326001 U,32,0,0,0,,,,,,,
U MARQUE NATIONALE,890,101,100507548,TS FEM 36-46/48 ASS 251801 SMAR MN,27,0,0,0,,,,,,,
U MARQUE NATIONALE,920,105,100507633,DEBARDEUR HOM MBLC M-XXXL 6111522 U,28,0,0,0,,,,,,,
U MARQUE NATIONALE,920,105,100507955,DEB HOM SMAR S-XXL ASS 326901 MN,1,0,0,0,,,,,,,
U MARQUE NATIONALE,910,104,100508053,BERMUDA HOM 3848 ASST 327001 SMAR M,18,0,0,0,,,,,,,
U MARQUE NATIONALE,400,204,100508055,DRAP PLAGE ATLIN 100*180 808601 ASS,24,0,0,0,,,,,,,
U MARQUE NATIONALE,820,103,100508068,TONGS FEM LONGB 36-41 BL 533401 U,30,0,0,0,,,,,,,
U MARQUE NATIONALE,950,103,100508069,SHORTY DE BAIN LONGB S-XXL 470301 U,12,0,0,0,,,,,,,
U MARQUE NATIONALE,950,103,100508070,MAILLOT BAIN 1PC LONGB 34-44 420801,18,0,0,0,,,,,,,
U MARQUE NATIONALE,950,103,100508072,MAILLOT BAIN 2PC LONGB 36-46 420701,18,0,0,0,,,,,,,
U MARQUE NATIONALE,920,101,100508073,TS HOM G.AUR S-XXL ASST 327101 U,18,0,0,0,,,,,,,
U MARQUE NATIONALE,820,104,100508075,TONGS HOM LONGB 40-45 NR 533402 U,15,0,0,0,,,,,,,
U MARQUE NATIONALE,850,111,100508076,ENS GARC COMPL 4/12A ASST 168601 U,24,0,0,0,,,,,,,
U MARQUE NATIONALE,850,111,100508077,ENS FILL COMPL 4/12A ASST 168501 U,36,0,0,0,,,,,,,
U MARQUE NATIONALE,820,102,100508079,TONGS GARC COCA 35-39 ASST 533502 U,24,0,0,0,,,,,,,
U MARQUE NATIONALE,820,104,100508080,TONGS HOM COCA 40-46 ASST 533501 U,24,0,0,0,,,,,,,
U MARQUE NATIONALE,910,104,100508082,BERMUDA HOM DYNAM S-XXL 326801 ASST,16,0,0,0,,,,,,,
U MARQUE NATIONALE,950,103,100508083,SHORT BAIN HOM ATHENA 2/6A 470401 U,16,0,0,0,,,,,,,
U MARQUE NATIONALE,890,105,100508084,DEB FEM LONGB S-XXL ASST 253001 U,18,0,0,0,,,,,,,
U MARQUE NATIONALE,880,105,100508085,ROBE FEM LONGB S-XXL ASST 252901 U,18,0,0,0,,,,,,,
U MARQUE NATIONALE,880,105,100508087,ROBE LONGUE FEM 36-44 ASST 253301 U,24,0,0,0,,,,,,,
U MARQUE NATIONALE,920,101,100508088,TS HOM MC LONGB S-XXL ASST 326701 U,18,0,0,0,,,,,,,
U MARQUE NATIONALE,880,103,100508089,COMBISHORT FEM 36-44 ASST 253201 U,24,0,0,0,,,,,,,
U MARQUE NATIONALE,950,102,100508219,SHORT DE BAIN H LONGB S-XXL 470201,16,0,0,0,,,,,,,
U MARQUE NATIONALE,910,104,100508220,BERMUDA HOM MBLC M-XXL ASST 6110102,18,0,0,0,,,,,,,
U MARQUE NATIONALE,930,102,100508223,CHEMISETTE LONGB S-XXL ASST 327201,18,0,0,0,,,,,,,
U MARQUE NATIONALE,950,102,100508224,SHORT BAIN HOM MBLC S-XXL 470001 AS,16,0,0,0,,,,,,,
U MARQUE NATIONALE,880,112,100508225,CHEM FEM SM 36-46 ASST 252401 U,24,0,0,0,,,,,,,
U MARQUE NATIONALE,830,104,100508377,PROT-P INV H F 36/41/46 ASS 654201,1,0,0,0,,,,,,,
U MARQUE NATIONALE,840,104,100508378,COMBICOURTE G 3/23M ASS 106501 SMAR,20,0,0,0,,,,,,,
U MARQUE NATIONALE,840,104,100508380,COMBICOURTE G 3M-23M ASS 106401 SMA,20,0,0,0,,,,,,,
U MARQUE NATIONALE,840,104,100508381,COMBICOURTE FILL 3M-23M ASS 106101,20,0,0,0,,,,,,,
U MARQUE NATIONALE,840,104,100508383,COMBICOURTE GARÇ 3M-23M ASS 106301,20,0,0,0,,,,,,,
U MARQUE NATIONALE,840,103,100508384,COMBICOURT FILL 3/23M ASS 4171791 M,20,0,0,0,,,,,,,
U MARQUE NATIONALE,840,101,100509566,BODY*3 MC MBLC KOALA 3M 5233530 U,4,6100,0,0,,,,,,,
U MARQUE NATIONALE,910,112,100509682,CHEM H YDOR 37/38-45/46 ASS 4474431,4,0,0,0,,,,,,,
U MARQUE NATIONALE,830,105,100510182,MI CHO7*3 SPRT E.DIM 40/45 1425492,1,6590,0,0,,,,,,,
U MARQUE NATIONALE,780,275,100510199,SAC CADEAU SDORG GF ASS 4720241,1,0,0,0,,,,,,,
U MARQUE NATIONALE,780,275,100510202,BTE CADEAU SDORG MULTICOL.1743366,1,0,0,0,,,,,,,
U MARQUE NATIONALE,780,195,100510208,CUILL*2 SOPHIE GIR.UNQ 7277692,1,9150,0,0,,,,,,,
U MARQUE NATIONALE,780,265,100510209,CUBE BAIN VULLI ASS 7269699/5168,1,0,0,0,,,,,,,
U MARQUE NATIONALE,780,265,100510211,LIVRE DE BAIN VULLI M.COL.6435213,1,0,0,0,,,,,,,
U MARQUE NATIONALE,870,102,100510212,T.SHIRT GAR ABSOR 6A 5286871/9999,1,0,0,0,,,,,,,
U MARQUE NATIONALE,870,102,100510215,T.SHIRT GAR ABSOR 4A 5286830/9999,1,0,0,0,,,,,,,
U MARQUE NATIONALE,870,102,100510217,T.SHIRT GAR ABSOR 3A 5286811/9999,1,0,0,0,,,,,,,
U MARQUE NATIONALE,870,102,100510219,T.SHIRT GAR ABSOR 2A 5286790/9999,1,0,0,0,,,,,,,
U MARQUE NATIONALE,870,101,100510220,CULT*3 FILL ABSOR POIS 6A 5188390,1,0,0,0,,,,,,,
U MARQUE NATIONALE,870,101,100510222,CULT*3 FILL ABSOR POIS 5A 5188371,1,0,0,0,,,,,,,
U MARQUE NATIONALE,870,101,100510224,CULT*3 FILL ABSOR 4A POIS 5188351,1,0,0,0,,,,,,,
U MARQUE NATIONALE,870,101,100510230,CULT*3 FILL ABSOR 3A POIS 5188332,1,0,0,0,,,,,,,
U MARQUE NATIONALE,870,101,100510232,CULT*3 FILL ABSOR 2A POIS 5188310,1,0,0,0,,,,,,,
U MARQUE NATIONALE,860,101,100510239,T.SHIRT FILL ABSOR RSE 6A 5178050,1,0,0,0,,,,,,,
U MARQUE NATIONALE,860,101,100510245,T.SHIRT FILL ABSOR RSE 4A 5178011,1,0,0,0,,,,,,,
U MARQUE NATIONALE,860,101,100510250,T.SHIRT FILL ABSOR RSE 2A 5177912,1,0,0,0,,,,,,,
U MARQUE NATIONALE,870,101,100510251,CULT*3 FILL ABSO 4A IMP/RSE 5177710,1,0,0,0,,,,,,,
U MARQUE NATIONALE,870,102,100510252,BXR*2 FANT GAR ABSOR 6A 5153910 BL,1,0,0,0,,,,,,,
U MARQUE NATIONALE,870,102,100510253,BXR*2 FANT GAR ABSOR 5A 5153892 BL,1,0,0,0,,,,,,,
U MARQUE NATIONALE,870,102,100510255,BXR*2 FANT GAR ABSOR 4A 5153870 BL,1,0,0,0,,,,,,,
U MARQUE NATIONALE,870,102,100510256,BXR*2 FANT GAR ABSOR 3A 5153851 BL,1,0,0,0,,,,,,,
U MARQUE NATIONALE,870,102,100510257,BXR*2 FANT GAR ABSOR 2A 5153830 BL,1,0,0,0,,,,,,,
U MARQUE NATIONALE,870,102,100510258,SLIP*3 G ABSOR BL/RG/MRN 6A 5152170,1,0,0,0,,,,,,,
U MARQUE NATIONALE,870,102,100510259,SLIP*3 G ABSOR BL/RG/MRN 5A 5152150,1,0,0,0,,,,,,,
U MARQUE NATIONALE,870,102,100510261,SLIP*3 G ABSOR BL/RG/MRN 4A 5152130,1,0,0,0,,,,,,,
U MARQUE NATIONALE,870,102,100510263,SLIP*3 G ABSOR BL/RG/MRN 3A 5152110,1,0,0,0,,,,,,,
U MARQUE NATIONALE,870,102,100510266,SLIP*3 G ABSOR BL/RG/MRN 2A 5152071,1,0,0,0,,,,,,,
U MARQUE NATIONALE,870,101,100510268,CULT*2 BIO FILL 6A BLC/POIS 2441450,1,0,0,0,,,,,,,
U MARQUE NATIONALE,870,101,100510272,CULT*2 BIO FILL 5A BLC/POIS 2441431,1,0,0,0,,,,,,,
U MARQUE NATIONALE,870,101,100510274,CULT*3 BIO FILL 4A BLC/POIS 2441410,1,0,0,0,,,,,,,
U MARQUE NATIONALE,870,101,100510276,CULT*2 BIO FILL 3A BLC/POIS 2441391,1,0,0,0,,,,,,,
U MARQUE NATIONALE,870,101,100510278,CULT*2 BIO FILL 2A BLC/POIS 2441370,1,0,0,0,,,,,,,
U MARQUE NATIONALE,840,101,100510339,BDY*3 MC AB.18M BLC/RAY/MRN 5259511,1,0,0,0,,,,,,,
U MARQUE NATIONALE,840,101,100510340,BDY*3 MC AB.12M BLC/RAY/MRN 5259490,1,0,0,0,,,,,,,
U MARQUE NATIONALE,840,101,100510341,BDY*3 MC AB.6M BLC/RAY/MRN 5259470,1,0,0,0,,,,,,,
U MARQUE NATIONALE,840,101,100510342,BDY*3 MC AB.3M BLC/RAY/MRN 5259451,1,0,0,0,,,,,,,
U MARQUE NATIONALE,840,101,100510343,BDY*3 MC FILL P.COEUR 18M 5259151 U,1,0,0,0,,,,,,,
U MARQUE NATIONALE,840,101,100510344,BDY*3 MC FILL P.COEUR 12M 5259131 U,1,0,0,0,,,,,,,
U MARQUE NATIONALE,840,101,100510345,BDY*3 MC FILL P.COEUR 9M 5259110 U,1,0,0,0,,,,,,,
U MARQUE NATIONALE,840,101,100510346,BDY*3 MC FILL P.COEUR 6M 5259090 U,1,0,0,0,,,,,,,
U MARQUE NATIONALE,840,101,100510347,BDY*3 MC FILL P.COEUR 3M 5259070 U,1,0,0,0,,,,,,,
U MARQUE NATIONALE,840,101,100510349,BDY*3 MC MXT GIRAFES 18M 5258791 U,1,0,0,0,,,,,,,
U MARQUE NATIONALE,840,101,100510350,BDY*3 MC MXT GIRAFES 12M 5258770 U,1,0,0,0,,,,,,,
U MARQUE NATIONALE,840,101,100510354,BDY*3 MC MXT GIRAFES 9M 5258752 U,1,0,0,0,,,,,,,
U MARQUE NATIONALE,840,101,100510355,BDY*3 MC MXT GIRAFES 6M 5258730 U,1,0,0,0,,,,,,,
U MARQUE NATIONALE,840,101,100510356,BDY*3 MC MXT GIRAFES 3M 5258712 U,1,0,0,0,,,,,,,
U MARQUE NATIONALE,840,101,100510357,BDY*2 NAISS MBLC PIQ-NIQ 6M 5233310,1,0,0,0,,,,,,,
U MARQUE NATIONALE,840,101,100510358,BDY*2 NAISS MBLC PIQ-NIQ 3M 5233290,1,0,0,0,,,,,,,
U MARQUE NATIONALE,840,101,100510359,BDY*2 NAISS MBLC PIQ-NIQ 1M 5233271,1,0,0,0,,,,,,,
U MARQUE NATIONALE,840,101,100510361,BDY*2 NAISS MBLC PIQ-NIQ 5233231 U,1,0,0,0,,,,,,,
U MARQUE NATIONALE,820,102,100510362,BOTTE DE PLUIE 23/24 5653793 MARINE,1,0,0,0,,,,,,,
U MARQUE NATIONALE,820,102,100510363,BOTTE DE PLUIE 21/22 5653607 MARINE,1,0,0,0,,,,,,,
U MARQUE NATIONALE,820,102,100510364,BOTTE DE PLUIE 25/26 5653866 MARINE,1,0,0,0,,,,,,,
U MARQUE NATIONALE,820,102,100510365,BOTTE PLUIE ENF 33/34 5673115 ROUGE,1,0,0,0,,,,,,,
U MARQUE NATIONALE,780,275,100510366,"SAC CADEAU 20*26,5 SDOR.ASS 5289770",1,0,0,0,,,,,,,
U MARQUE NATIONALE,820,103,100510370,TONGS FEM T36/40 POMME  5312750 U,1,0,0,0,,,,,,,
U MARQUE NATIONALE,820,104,100510371,TONGS HOM T40/45 GRIS 5313230/5063,1,0,0,0,,,,,,,
U MARQUE NATIONALE,820,103,100510372,TONGS FEM T36/41 BGE/CORAIL 5312611,1,0,0,0,,,,,,,
U MARQUE NATIONALE,780,355,100510373,SAC A LANGER MULTI BADAB 7181610 BL,1,0,0,0,,,,,,,
U MARQUE NATIONALE,820,104,100510376,TONGS HOM T41/44 KAKI 5313370/5063,1,0,0,0,,,,,,,
U MARQUE NATIONALE,820,103,100510377,TONGS FEM T37/41 ROYAL 5312890 U,1,0,0,0,,,,,,,
U MARQUE NATIONALE,820,104,100510378,TONGS HOM T40/45 NR 5313050/5063 U,1,0,0,0,,,,,,,
U MARQUE NATIONALE,820,103,100510381,TONGS FEM T36/41 BORDEAUX 5312453 U,1,0,0,0,,,,,,,
U MARQUE NATIONALE,780,250,100510385,ANNEAU DENT SOPHI GIRAFE 7278873,1,0,0,0,,,,,,,
U MARQUE NATIONALE,780,275,100510386,BALLE SENSO VULLI LAGON 5194411,1,0,0,0,,,,,,,
U MARQUE NATIONALE,780,275,100510389,BABY ALARME 1000M BADAB 4778361,1,0,0,0,,,,,,,
U MARQUE NATIONALE,780,255,100510391,HOCHET SOFT VULLI 7182432/5166,1,8650,0,0,,,,,,,
U MARQUE NATIONALE,780,260,100510392,DOUDOU SLG VULLI UNIQ 7271372/5166,1,12890,0,0,,,,,,,
U MARQUE NATIONALE,780,275,100510393,BOITE CADEAU SDORG GF ASS 4722851,12,0,0,0,,,,,,,
U MARQUE NATIONALE,780,275,100510394,BOITE CADEAU SDORG PF ASS 4722082,1,0,0,0,,,,,,,
